QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,Coverage,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,Coverage,MCC,NBD,LOC,#Pa,#MC,#AF
<Method>com.example.helloworld.core.Person.public setJobTitle( String ): void,setJobTitle( String ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,0,1
<Field>com.example.helloworld.core.Person->fullName,fullName : String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.example.helloworld.core.Person->id,id : long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.example.helloworld.core.Person->jobTitle,jobTitle : String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.example.helloworld.core.Template,Template,low,low,low,low,1,4,2,1,0,2,8,5,2,0,2,0,0,0,0.333,0,0,0,,,,,8,,,,,,2,,,,,,,
"<Method>com.example.helloworld.core.Template.public Template( String, String ): void","Template( String, String ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,2,0,2
<Method>com.example.helloworld.core.Template.public render( Optional ): String,render( Optional ): String,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,2,2
<Field>com.example.helloworld.core.Template->content,final content : String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.example.helloworld.core.Template->defaultName,final defaultName : String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.example.helloworld.core.User,User,low,low,low,low,0,4,1,1,0,3,8,6,1,0,3,0,0,0,0.333,0.667,0,0,,,,,8,,,,,,3,,,,,,,
<Method>com.example.helloworld.core.User.public User( String ): void,User( String ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,0,1
