QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,Coverage,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,Coverage,MCC,NBD,LOC,#Pa,#MC,#AF
<Field>org.apache.lucene.analysis.MockAnalyzer->enableChecks,enableChecks : boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>org.apache.lucene.analysis.MockAnalyzer->lowerCase,final lowerCase : boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>org.apache.lucene.analysis.MockAnalyzer->maxTokenLength,maxTokenLength : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>org.apache.lucene.analysis.MockAnalyzer->positionIncrementGap,positionIncrementGap : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.lucene.analysis.MockBytesAnalyzer,MockBytesAnalyzer,low,low,low,low,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,,6,,,,,,0,,,,,,,
org.apache.lucene.analysis.MockCharFilter,MockCharFilter,low,low,low,low,0,4,2,0,0,13,47,34,4,0,4,0,0,0,0.333,1,0,0,,,,,47,,,,,,13,,,,,,,
"<Method>org.apache.lucene.analysis.MockCharFilter.protected addOffCorrectMap( int, int ): void","addOffCorrectMap( int, int ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,0,0
<Method>org.apache.lucene.analysis.MockCharFilter.public correct( int ): int,correct( int ): int,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,6,1,0,0
<Method>org.apache.lucene.analysis.MockCharFilter.public read( ): int,read( ): int,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,17,0,1,10
"<Method>org.apache.lucene.analysis.MockCharFilter.public read( char, int, int ): int","read( char, int, int ): int",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,9,3,1,0
<Field>org.apache.lucene.analysis.MockCharFilter->bufferedCh, bufferedCh : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>org.apache.lucene.analysis.MockCharFilter->currentOffset, currentOffset : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>org.apache.lucene.analysis.MockCharFilter->delta, delta : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>org.apache.lucene.analysis.MockCharFilter->remainder,final remainder : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.lucene.analysis.MockFixedLengthPayloadFilter,MockFixedLengthPayloadFilter,low,low,low,low,0,1,0,0,0,2,20,8,1,0,1,0,0,0,0,0,0,0,,,,,20,,,,,,2,,,,,,,
<Method>org.apache.lucene.analysis.MockFixedLengthPayloadFilter.public incrementToken( ): boolean,incrementToken( ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,8,0,0,1
<Field>org.apache.lucene.analysis.MockFixedLengthPayloadFilter->bytes,final bytes : byte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.lucene.analysis.MockGraphTokenFilter,MockGraphTokenFilter,low,low,low-medium,low,0,4,0,0,0,15,51,40,1,1,4,0,0,0.75,0,1,0,0,,,,,51,,,,,,15,,,,,,,
<Method>org.apache.lucene.analysis.MockGraphTokenFilter.protected afterPosition( ): void,afterPosition( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,4,25,0,0,3
<Method>org.apache.lucene.analysis.MockGraphTokenFilter.public close( ): void,close( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,0,0,0
<Method>org.apache.lucene.analysis.MockGraphTokenFilter.public incrementToken( ): boolean,incrementToken( ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,7,0,0,1
<Method>org.apache.lucene.analysis.MockGraphTokenFilter.public reset( ): void,reset( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,0,0,1
<Field>org.apache.lucene.analysis.MockGraphTokenFilter->seed,final seed : long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>org.apache.lucene.analysis.MockGraphTokenFilter->DEBUG,static DEBUG : boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.lucene.analysis.MockHoleInjectingTokenFilter,MockHoleInjectingTokenFilter,low,low,low,low,0,2,0,0,0,6,30,20,3,0,2,0,0,0.333,0,0,0,0,,,,,30,,,,,,6,,,,,,,
<Method>org.apache.lucene.analysis.MockHoleInjectingTokenFilter.public incrementToken( ): boolean,incrementToken( ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,14,0,0,6
<Method>org.apache.lucene.analysis.MockHoleInjectingTokenFilter.public reset( ): void,reset( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,0,0,3
<Field>org.apache.lucene.analysis.MockHoleInjectingTokenFilter->randomSeed,final randomSeed : long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>org.apache.lucene.analysis.MockHoleInjectingTokenFilter->maxPos,maxPos : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>org.apache.lucene.analysis.MockHoleInjectingTokenFilter->pos,pos : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.lucene.analysis.MockPayloadAnalyzer,MockPayloadAnalyzer,low,low,low,low,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,,5,,,,,,0,,,,,,,
org.apache.lucene.analysis.MockPayloadFilter,MockPayloadFilter,low,low,low,low,0,2,0,0,0,5,35,20,2,0,2,0,0,0,0,0,0,0,,,,,35,,,,,,5,,,,,,,
<Method>org.apache.lucene.analysis.MockPayloadFilter.public incrementToken( ): boolean,incrementToken( ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,15,0,0,5
<Method>org.apache.lucene.analysis.MockPayloadFilter.public reset( ): void,reset( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,0,0,2
<Field>org.apache.lucene.analysis.MockPayloadFilter->i, i : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>org.apache.lucene.analysis.MockPayloadFilter->pos, pos : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.lucene.analysis.MockRandomLookaheadTokenFilter,MockRandomLookaheadTokenFilter,low,low,low,low,0,3,0,0,0,16,45,33,1,1,3,0,0,1,0,1,0,0,,,,,45,,,,,,16,,,,,,,
<Method>org.apache.lucene.analysis.MockRandomLookaheadTokenFilter.protected afterPosition( ): void,afterPosition( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,0,0,0
<Method>org.apache.lucene.analysis.MockRandomLookaheadTokenFilter.public incrementToken( ): boolean,incrementToken( ): boolean,low-medium,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,6,25,0,0,6
<Method>org.apache.lucene.analysis.MockRandomLookaheadTokenFilter.public reset( ): void,reset( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,0,0,1
<Field>org.apache.lucene.analysis.MockRandomLookaheadTokenFilter->seed,final seed : long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>org.apache.lucene.analysis.MockRandomLookaheadTokenFilter->DEBUG,static final DEBUG : boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.lucene.analysis.MockReaderWrapper,MockReaderWrapper,low,low,low,low,0,6,0,0,0,11,44,33,3,0,6,0,0,0.5,0.5,0.867,0,0,,,,,44,,,,,,11,,,,,,,
<Method>org.apache.lucene.analysis.MockReaderWrapper.public close( ): void,close( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,0,0
<Method>org.apache.lucene.analysis.MockReaderWrapper.public markSupported( ): boolean,markSupported( ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,0,0
"<Method>org.apache.lucene.analysis.MockReaderWrapper.public read( char, int, int ): int","read( char, int, int ): int",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,19,3,0,8
